r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 1 4,-1.2
r1bqkb1r/pppp1ppp/5n2/4n3/4P3/2N5/PPPP1PPP/R1BQKB1R w KQkq - 0 5,-1.2
r1bqkb1r/pppp1ppp/5n2/4n3/3PP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,-1.1
r1bqkb1r/pppp1ppp/5nn1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,-1.2
r1bqkb1r/pppp1ppp/5nn1/4P3/3P4/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 6,-1.1
r1bqkbnr/pppp1ppp/6n1/4P3/3P4/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 7,-0.9
r1bqkbnr/pppp1ppp/6n1/4P3/2BP4/2N5/PPP2PPP/R1BQK2R b KQkq - 2 7,-1.1
r1bqkbnr/pp1p1ppp/2p3n1/4P3/2BP4/2N5/PPP2PPP/R1BQK2R w KQkq - 0 8,-1.4
r1bqkbnr/pp1p1ppp/2p3n1/4P3/2BP4/2N5/PPP1QPPP/R1B1K2R b KQkq - 1 8,-1.5
r1bqk1nr/pp1p1ppp/2p3n1/4P3/1bBP4/2N5/PPP1QPPP/R1B1K2R w KQkq - 2 9,-1.6
r1bqk1nr/pp1p1Bpp/2p3n1/4P3/1b1P4/2N5/PPP1QPPP/R1B1K2R b KQkq - 0 9,-1.4
r1bq2nr/pp1p1kpp/2p3n1/4P3/1b1P4/2N5/PPP1QPPP/R1B1K2R w KQ - 0 10,-1.3
r1bq2nr/pp1p1kpp/2p3n1/4P3/1bQP4/2N5/PPP2PPP/R1B1K2R b KQ - 1 10,-1.3
r1bq2nr/pp3kpp/2p3n1/3pP3/1bQP4/2N5/PPP2PPP/R1B1K2R w KQ d6 0 11,-1.4